Date,Open,High,Low,Close,Adj Close,Volume
2012-02-08,86.570000,87.709999,86.139999,87.639999,61.365536,3394000
2012-02-09,87.660004,88.070000,87.400002,88.010002,61.624596,2865000
2012-02-10,87.129997,87.720001,87.000000,87.510002,61.274513,1928200
2012-02-13,87.639999,88.250000,86.980003,88.230003,61.778629,2583400
2012-02-14,87.730003,88.550003,87.660004,88.449997,61.932674,1676700
2012-02-15,87.680000,87.919998,86.769997,86.930000,60.868366,3474000
2012-02-16,86.849998,87.209999,86.059998,86.400002,60.497261,2298500
2012-02-17,86.720001,88.309998,86.620003,87.989998,61.610596,2734000
2012-02-21,87.860001,87.900002,86.790001,87.150002,61.022415,1738700
2012-02-22,87.339996,88.089996,87.260002,87.620003,61.351540,1241400
2012-02-23,87.809998,88.389999,87.570000,88.290001,61.820648,7431200
2012-02-24,88.480003,90.150002,88.400002,89.529999,62.688927,7279200
2012-02-27,89.519997,90.000000,89.080002,89.410004,62.604877,2905000
2012-02-28,88.849998,88.860001,88.000000,88.699997,62.810226,1866000
2012-02-29,88.879997,89.309998,88.389999,88.410004,62.604877,2832200
2012-03-01,88.610001,88.970001,88.139999,88.370003,62.576530,1608300
2012-03-02,88.400002,89.050003,88.300003,88.500000,62.668617,1334200
2012-03-05,89.019997,89.080002,88.559998,88.680000,62.796074,1458500
2012-03-06,87.980003,88.839996,87.680000,87.779999,62.158760,1442200
2012-03-07,87.809998,88.070000,87.410004,87.959999,62.286205,1280500
2012-03-08,88.570000,89.000000,88.260002,88.379997,62.583626,1159400
2012-03-09,88.820000,89.120003,88.220001,88.910004,62.958935,1177800
2012-03-12,88.709999,89.290001,88.620003,89.000000,63.022682,1113600
2012-03-13,89.379997,89.709999,88.800003,89.650002,63.482941,1626500
2012-03-14,89.860001,91.010002,89.779999,90.419998,64.028198,2039300
2012-03-15,90.400002,90.680000,89.930000,90.300003,63.943218,1382000
2012-03-16,90.300003,90.500000,89.250000,89.320000,63.249271,2116300
2012-03-19,88.919998,89.690002,88.889999,89.559998,63.419205,900000
2012-03-20,89.290001,89.559998,88.639999,89.339996,63.263439,1355500
2012-03-21,89.309998,89.720001,89.260002,89.449997,63.341301,1289800
2012-03-22,89.120003,89.660004,88.839996,89.400002,63.305935,1412400
2012-03-23,89.599998,89.879997,89.199997,89.769997,63.567902,1032600
2012-03-26,90.230003,90.769997,90.089996,90.639999,64.183998,1340000
2012-03-27,90.639999,91.089996,90.550003,90.849998,64.332703,1119700
2012-03-28,90.779999,91.080002,89.320000,89.690002,63.511288,1353700
2012-03-29,89.470001,89.690002,88.830002,89.629997,63.468784,1331500
2012-03-30,90.000000,90.160004,89.599998,89.860001,63.631653,1275100
2012-04-02,89.410004,91.610001,89.410004,91.160004,64.552223,1678000
2012-04-03,91.019997,91.419998,90.650002,91.070000,64.488480,1257700
2012-04-04,90.860001,90.949997,90.260002,90.339996,63.971539,1632700
2012-04-05,90.040001,90.769997,89.830002,90.150002,63.836994,1808400
2012-04-09,89.360001,89.360001,88.709999,88.739998,62.838562,1331600
2012-04-10,88.500000,88.639999,87.669998,87.669998,62.080860,1441100
2012-04-11,88.370003,88.949997,88.230003,88.489998,62.661526,1386800
2012-04-12,88.800003,90.410004,88.699997,90.169998,63.851166,1467900
2012-04-13,89.930000,90.589996,89.290001,89.300003,63.235111,1481300
2012-04-16,89.550003,89.800003,89.080002,89.570000,63.426300,2807200
2012-04-17,89.540001,90.779999,89.029999,90.599998,64.155647,1373200
2012-04-18,90.290001,90.769997,89.930000,90.370003,63.992798,946800
2012-04-19,90.699997,90.970001,90.029999,90.339996,63.971539,1500100
2012-04-20,90.449997,91.239998,90.320000,90.839996,64.325592,1118800
2012-04-23,89.989998,90.739998,89.940002,90.529999,64.106094,1414300
2012-04-24,90.629997,91.290001,90.529999,91.129997,64.530960,1291400
2012-04-25,91.739998,91.889999,90.620003,90.980003,64.424728,1843400
2012-04-26,91.410004,92.239998,91.110001,91.699997,64.934586,1976200
2012-04-27,92.080002,92.089996,91.199997,91.300003,64.651337,1526500
2012-04-30,91.099998,91.099998,90.459999,90.540001,64.113205,1146200
2012-05-01,90.610001,91.019997,90.160004,90.550003,64.120247,1629300
2012-05-02,89.709999,90.290001,89.709999,90.080002,63.787403,2000800
2012-05-03,89.830002,90.080002,89.230003,89.470001,63.355476,1459400
2012-05-04,89.279999,89.550003,87.830002,87.830002,62.194164,2082600
2012-05-07,87.779999,88.110001,86.980003,87.309998,61.825947,2172100
2012-05-08,86.989998,87.220001,86.250000,87.129997,61.698475,1669100
2012-05-09,86.529999,86.910004,85.919998,85.949997,60.862911,1756900
2012-05-10,86.589996,86.910004,86.000000,86.120003,60.983292,1317200
2012-05-11,86.180000,86.330002,85.169998,85.209999,60.338875,1919300
2012-05-14,84.660004,85.400002,84.169998,85.199997,60.331814,1186500
2012-05-15,85.029999,85.370003,84.419998,84.589996,59.899849,1403600
2012-05-16,84.930000,85.320000,84.290001,84.330002,59.715744,1319000
2012-05-17,84.220001,84.300003,82.779999,82.830002,58.653538,1398700
2012-05-18,83.160004,83.779999,82.599998,82.779999,58.618160,1563200
